=== DATOS DEL PERFIL ===
Usuario,Nombre,Biografía,Posts,Seguidores,Seguidos
macabeso,macabeso,Macarena Achaga,1263 publicaciones,"2,6 M seguidores",849 seguidos

=== POSTS Y COMENTARIOS ===
#,URL,Likes,Engagement %,Tipo,Comentario #,Usuario,Texto
1,https://www.instagram.com/macabeso/p/DWuCqWtleNv/,197,0.0076%,PROPIO,1,santiagoachaga,Mi hermanita siempre presente 🥲❤️❤️❤️❤️
1,https://www.instagram.com/macabeso/p/DWuCqWtleNv/,197,0.0076%,PROPIO,2,paumtzurita,😍😍😍😍😍😍😍😍😍
1,https://www.instagram.com/macabeso/p/DWuCqWtleNv/,197,0.0076%,PROPIO,3,alejandroppuente,Q bellos
2,https://www.instagram.com/macabeso/p/DWeup1DiEnI/,188,0.0072%,PROPIO,1,abbytb19,cada vez que veo una foto de ambos pienso que se comprometieron y me empiezo a ilusionar 🥹
2,https://www.instagram.com/macabeso/p/DWeup1DiEnI/,188,0.0072%,PROPIO,2,paumtzurita,Los amo tanto !!!!
2,https://www.instagram.com/macabeso/p/DWeup1DiEnI/,188,0.0072%,PROPIO,3,mar.marecito,Cada vez que veo una foto de inicio así me emociono (💍) luego leo el caption y ps nada 🥲 procedo a darle like de todas formas
3,https://www.instagram.com/ninaricci/p/DWXFq6KiGd6/,6,N/A (post externo),ETIQUETADO (excluido del eng.),1,lovemacaachaga1,Preciosa mujer Maca 😻
3,https://www.instagram.com/ninaricci/p/DWXFq6KiGd6/,6,N/A (post externo),ETIQUETADO (excluido del eng.),2,marisolgonzalez7181,Macarena Achaga gorgeous 💖
3,https://www.instagram.com/ninaricci/p/DWXFq6KiGd6/,6,N/A (post externo),ETIQUETADO (excluido del eng.),3,rochy.carreno,Que bonita que estas makita!😍
4,https://www.instagram.com/192_revista/p/DWRuU8VEQx7/,15,N/A (post externo),ETIQUETADO (excluido del eng.),1,goatjoseph07,No había una argentina más plana?
4,https://www.instagram.com/192_revista/p/DWRuU8VEQx7/,15,N/A (post externo),ETIQUETADO (excluido del eng.),2,juanpazurita,Nooooooooo puedoooooooodishsbdbnff
4,https://www.instagram.com/192_revista/p/DWRuU8VEQx7/,15,N/A (post externo),ETIQUETADO (excluido del eng.),3,marisolgonzalez7181,that 70s vibe WOW 💖
5,https://www.instagram.com/macabeso/p/DWNAgaXj2AZ/,22,0.0008%,PROPIO,1,paumtzurita,Wow este carrete
5,https://www.instagram.com/macabeso/p/DWNAgaXj2AZ/,22,0.0008%,PROPIO,2,ren.soifer,Hi 👼🏼👄❤️‍🩹💄🫀🫦💅🎀🩷
5,https://www.instagram.com/macabeso/p/DWNAgaXj2AZ/,22,0.0008%,PROPIO,3,franbass,😍🙏🏼❤️
6,https://www.instagram.com/macabeso/p/DWDEuT1CDW3/,106,0.0041%,PROPIO,1,juanpazurita,Soy tu fan
6,https://www.instagram.com/macabeso/p/DWDEuT1CDW3/,106,0.0041%,PROPIO,2,ren.soifer,Kiiiiii 👄👄👼🏼👄👼🏼😭🩷😭🩷
6,https://www.instagram.com/macabeso/p/DWDEuT1CDW3/,106,0.0041%,PROPIO,3,lucreccorrea,la marplatense mas hermosa😍
7,https://www.instagram.com/juanpazurita/p/DV-Jk1BFPlr/,568,N/A (post externo),ETIQUETADO (excluido del eng.),1,juanpazurita,Los Ángeles
7,https://www.instagram.com/juanpazurita/p/DV-Jk1BFPlr/,568,N/A (post externo),ETIQUETADO (excluido del eng.),2,mirandaahdez,"Juanpa por favor, córtate el cabelloooooooo"
7,https://www.instagram.com/juanpazurita/p/DV-Jk1BFPlr/,568,N/A (post externo),ETIQUETADO (excluido del eng.),3,pau_1s,"Juan Pablo ya cortate el cabello, no me di cuenta que era tu insta y pensé que era una pareja de lesbianas 😭"
8,https://www.instagram.com/macabeso/p/DV38TetkZYS/,12,0.0005%,PROPIO,1,msdelmoral,Divinoooo!❤️
8,https://www.instagram.com/macabeso/p/DV38TetkZYS/,12,0.0005%,PROPIO,2,paumtzurita,😍😍😍 AMO!!!!!!!!!!!
8,https://www.instagram.com/macabeso/p/DV38TetkZYS/,12,0.0005%,PROPIO,3,kariniuxtorres,Es que 🤤😍
9,https://www.instagram.com/macabeso/p/DVjm8IdD8lI/,662,0.0255%,PROPIO,1,juanpazurita,Piscis aires 4 life te amo
9,https://www.instagram.com/macabeso/p/DVjm8IdD8lI/,662,0.0255%,PROPIO,2,santiagoachaga,Mi hermosa de mi corazón
9,https://www.instagram.com/macabeso/p/DVjm8IdD8lI/,662,0.0255%,PROPIO,3,paumtzurita,Te amo bebé !!!!!!!!!!!!
10,https://www.instagram.com/maccosmetics_mex/p/DVd-6K3gZMS/,258,N/A (post externo),ETIQUETADO (excluido del eng.),1,barbara_lopez21,Quiero quiero quiero
10,https://www.instagram.com/maccosmetics_mex/p/DVd-6K3gZMS/,258,N/A (post externo),ETIQUETADO (excluido del eng.),2,yaritza_0110,Macaaa te pareces mucho a una amiga😱
10,https://www.instagram.com/maccosmetics_mex/p/DVd-6K3gZMS/,258,N/A (post externo),ETIQUETADO (excluido del eng.),3,santiagoachaga,QUEEEEEE TOP

=== MÉTRICAS GENERALES ===
Likes promedio,Engagement promedio %,Benchmark,Post más viral
197,0.0076,❌ Bajo (<0.5%),Post 9 (662 likes)

=== TOP COMENTARISTAS ===
Usuario,Comentarios
@paumtzurita,5
@juanpazurita,4
@santiagoachaga,3

